gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datacqtr,datafqtr,saleq,costat
001690,2001-03-31,2001,2,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2001Q1,2001Q2,1431.0000,A
001690,2001-06-30,2001,3,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2001Q2,2001Q3,1475.0000,A
001690,2001-09-30,2001,4,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2001Q3,2001Q4,1450.0000,A
001690,2001-12-31,2002,1,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2001Q4,2002Q1,1375.0000,A
001690,2002-03-31,2002,2,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2002Q1,2002Q2,1495.0000,A
001690,2002-06-30,2002,3,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2002Q2,2002Q3,1429.0000,A
001690,2002-09-30,2002,4,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2002Q3,2002Q4,1443.0000,A
001690,2002-12-31,2003,1,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2002Q4,2003Q1,1472.0000,A
001690,2003-03-31,2003,2,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2003Q1,2003Q2,1475.0000,A
001690,2003-06-30,2003,3,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2003Q2,2003Q3,1545.0000,A
001690,2003-09-30,2003,4,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2003Q3,2003Q4,1715.0000,A
001690,2003-12-31,2004,1,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2003Q4,2004Q1,2006.0000,A
001690,2004-03-31,2004,2,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2004Q1,2004Q2,1909.0000,A
001690,2004-06-30,2004,3,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2004Q2,2004Q3,2014.0000,A
001690,2004-09-30,2004,4,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2004Q3,2004Q4,2350.0000,A
001690,2004-12-31,2005,1,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2004Q4,2005Q1,3490.0000,A
001690,2005-03-31,2005,2,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2005Q1,2005Q2,3243.0000,A
001690,2005-06-30,2005,3,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2005Q2,2005Q3,3520.0000,A
001690,2005-09-30,2005,4,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2005Q3,2005Q4,3678.0000,A
001690,2005-12-31,2006,1,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2005Q4,2006Q1,5749.0000,A
001690,2006-03-31,2006,2,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2006Q1,2006Q2,4359.0000,A
001690,2006-06-30,2006,3,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2006Q2,2006Q3,4370.0000,A
001690,2006-09-30,2006,4,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2006Q3,2006Q4,4837.0000,A
001690,2006-12-31,2007,1,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2006Q4,2007Q1,7115.0000,A
001690,2007-03-31,2007,2,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2007Q1,2007Q2,5264.0000,A
001690,2007-06-30,2007,3,9,INDL,C,D,STD,AAPL,APPLE INC,USD,2007Q2,2007Q3,5410.0000,A
